"","ContigID","Protein_Hit","Gene","Drug","Mechanism","Genus","Species","Family","PlasmidOrChr","Type"
"571","k141_2021825.concoct_part_0","BAE78082","mdtP","Nucleoside antibiotic","antibiotic efflux","Enterobacter","Enterobacter hormaechei",NA,"Chromosome","Chromosome"
"570","k141_2020026.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Abiotrophia","Abiotrophia defectiva",NA,"Chromosome","Chromosome"
"569","k141_2017729.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Veillonella","Veillonella dispar",NA,"Chromosome","Chromosome"
"568","k141_2017494.concoct_part_0","CAA64891","mtrE","Multidrug","antibiotic efflux","Neisseria","Neisseria mucosa",NA,"Chromosome","Chromosome"
"567","k141_2017194.concoct_part_0","BAE06007","mexP","Multidrug","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"566","k141_2013692.concoct_part_0","CAA10975","tetW","Tetracycline","antibiotic target protection","Rothia","Rothia mucilaginosa",NA,"Chromosome","Chromosome"
"565","k141_2008685.concoct_part_0","CAA79727","tetQ","Tetracycline","antibiotic target protection","Moraxella","Moraxella catarrhalis",NA,"Chromosome","Chromosome"
"564","k141_2007485.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Rothia","Rothia mucilaginosa",NA,"Chromosome","Chromosome"
"563","k141_2006257.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"562","k141_2005974.concoct_part_0","BAE78082","mdtP","Nucleoside antibiotic","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"561","k141_2005038.concoct_part_0","CAA10975","tetW","Tetracycline","antibiotic target protection","Bifidobacterium","Bifidobacterium longum",NA,"Chromosome","Chromosome"
"560","k141_2005004.concoct_part_0","AAX14802","adeJ","Multidrug","antibiotic efflux","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"559","k141_2004612.concoct_part_0","BAB35162","H-NS","Multidrug","antibiotic efflux","Escherichia","Escherichia coli",NA,"Plasmid","Plasmid"
"558","k141_2003039.concoct_part_0","AAG07064","mexK","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"557","k141_2001141.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"556","k141_2000867.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"555","k141_2000071.concoct_part_0","ADO96486","hmrM","Multidrug","antibiotic efflux","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"554","k141_1997649.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"553","k141_1997504.concoct_part_0","AAK76137","patA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"552","k141_1996621.concoct_part_0","AAK99679","pmrA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"551","k141_1996319.concoct_part_0","AAF40763","farA","Antibacterial free fatty acids","antibiotic efflux","Neisseria","Neisseria mucosa",NA,"Chromosome","Chromosome"
"550","k141_1995388.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"549","k141_1993956.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"548","k141_1993270.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Prevotella","Prevotella denticola",NA,"Chromosome","Chromosome"
"547","k141_1992580.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus sanguinis",NA,"Chromosome","Chromosome"
"546","k141_1990350.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Streptococcus","Streptococcus intermedius",NA,"Chromosome","Chromosome"
"545","k141_1986670.concoct_part_4","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Empedobacter","Empedobacter brevis",NA,"Chromosome","Chromosome"
"544","k141_1986670.concoct_part_10","AAV85982","macB","MLS","antibiotic efflux","Cloacibacterium","Cloacibacterium normanense",NA,"Chromosome","Chromosome"
"543","k141_1986670.concoct_part_1","NP_252896","mexI","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"542","k141_1985704.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"541","k141_1982341.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"540","k141_1981391.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"539","k141_1977671.concoct_part_0","AET10444","tetA(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"538","k141_1976000.concoct_part_0","AET10445","tetB(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus intermedius",NA,"Chromosome","Chromosome"
"537","k141_197481.concoct_part_1","AAC73564","acrB","Multidrug","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"536","k141_197432.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Fusobacterium","Fusobacterium nucleatum",NA,"Chromosome","Chromosome"
"535","k141_1972199.concoct_part_0","AAC60780","rosB","Peptide antibiotic","antibiotic efflux","Escherichia","Escherichia coli",NA,"Chromosome","Chromosome"
"534","k141_1971820.concoct_part_0","NP_862226","Corynebacterium striatum tetA","Multidrug","antibiotic efflux","Corynebacterium","Corynebacterium striatum",NA,"Chromosome","Chromosome"
"533","k141_1968881.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"532","k141_1968289.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus intermedius",NA,"Chromosome","Chromosome"
"531","k141_1967152.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Fusobacterium","Fusobacterium periodonticum",NA,"Chromosome","Chromosome"
"530","k141_1966108.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"529","k141_1964966.concoct_part_0","AAC75137","mdtC","Aminocoumarin antibiotic","antibiotic efflux","Klebsiella","Klebsiella aerogenes",NA,"Chromosome","Chromosome"
"528","k141_1961223.concoct_part_6","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"527","k141_1959823.concoct_part_0","AAG04750","PmpM","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"526","k141_1958196.concoct_part_1","AAA26549","AAC(6')-Ic","Aminoglycoside","antibiotic inactivation","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"525","k141_195168.concoct_part_0","AAK99775","mefE","MLS","antibiotic efflux","Streptococcus","Streptococcus agalactiae",NA,"Chromosome","Chromosome"
"524","k141_1950477.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"523","k141_1948046.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"522","k141_1946678.concoct_part_0","ACQ82816","Acinetobacter baumannii AmvA","MLS","antibiotic efflux","Serratia","Serratia marcescens",NA,"Plasmid","Plasmid"
"521","k141_1945889.concoct_part_0","NP_252896","mexI","Multidrug","antibiotic efflux","Capnocytophaga","Capnocytophaga sputigena",NA,"Chromosome","Chromosome"
"520","k141_1945662.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"519","k141_1945344.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"518","k141_1944327.concoct_part_0","AAK99679","pmrA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"517","k141_1943867.concoct_part_0","BAA15934","baeS","Aminoglycoside","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"516","k141_1941195.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"515","k141_1935909.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"514","k141_1934563.concoct_part_0","AAC73564","acrB","Multidrug","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"513","k141_1933845.concoct_part_0","CAA09666","Klebsiella pneumoniae OmpK37","Beta-lactam","reduced permeability to antibiotic","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"512","k141_1933415.concoct_part_0","ACH87088","tet32","Tetracycline","antibiotic target protection","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"511","k141_1928315.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Staphylococcus","Staphylococcus aureus",NA,"Chromosome","Chromosome"
"510","k141_1925712.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"509","k141_1924246.concoct_part_0","AAL14440","adeB","Tetracycline","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"508","k141_1922439.concoct_part_0","AAG07763","mexW","Multidrug","antibiotic efflux","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"507","k141_1921328.concoct_part_0","BAB35162","H-NS","Multidrug","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"506","k141_1920374.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"505","k141_1919717.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"504","k141_1918426.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"503","k141_1914945.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"502","k141_1914091.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Atopobium","Atopobium parvulum",NA,"Chromosome","Chromosome"
"501","k141_1913572.concoct_part_0","AFH35853","Escherichia coli mdfA","Tetracycline","antibiotic efflux","Escherichia","Escherichia coli",NA,"Chromosome","Chromosome"
"500","k141_1913505.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Neisseria","Neisseria cinerea",NA,"Chromosome","Chromosome"
"499","k141_1913156.concoct_part_13","CAA10975","tetW","Tetracycline","antibiotic target protection","","",NA,"Chromosome","Chromosome"
"498","k141_1912123.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"497","k141_1910044.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"496","k141_1909640.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Veillonella","Veillonella parvula",NA,"Chromosome","Chromosome"
"495","k141_1909477.concoct_part_0","AAA74437","MexB","Multidrug","antibiotic efflux","Veillonella","Veillonella atypica",NA,"Chromosome","Chromosome"
"494","k141_1908752.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Haemophilus","Haemophilus parahaemolyticus",NA,"Chromosome","Chromosome"
"493","k141_1908081.concoct_part_0","AAK76137","patA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"492","k141_1907777.concoct_part_0","ABD30512","arlS","Fluoroquinolone","antibiotic efflux","Gemella","Gemella sanguinis",NA,"Chromosome","Chromosome"
"491","k141_1906088.concoct_part_0","ACH87088","tet32","Tetracycline","antibiotic target protection","Actinomyces","Actinomyces sp.",NA,"Chromosome","Chromosome"
"490","k141_1905749.concoct_part_1","AAQ76277","OXA-50","Beta-lactam","antibiotic inactivation","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"489","k141_1905334.concoct_part_0","NP_249397","Pseudomonas aeruginosa catB7","Phenicol","antibiotic inactivation","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"488","k141_1904938.concoct_part_0","AET10444","tetA(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"487","k141_1903952.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"486","k141_1903545.concoct_part_0","ALH22601","adeL","Multidrug","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"485","k141_1903407.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"484","k141_1902884.concoct_part_0","AEA37904","lsaC","MLS","antibiotic target protection","Streptococcus","Streptococcus agalactiae",NA,"Chromosome","Chromosome"
"483","k141_1902809.concoct_part_2","BAA23130","SRT-1","Beta-lactam","antibiotic inactivation","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"482","k141_1902783.concoct_part_0","AAW38464","Staphylococcys aureus LmrS","Multidrug","antibiotic efflux","Streptococcus","Streptococcus agalactiae",NA,"Chromosome","Chromosome"
"481","k141_1895172.concoct_part_0","EHL92831","Klebsiella pneumoniae KpnG","Multidrug","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"480","k141_1894864.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"479","k141_1894846.concoct_part_0","AAF86219","ErmB","MLS","antibiotic target alteration","Streptococcus","Streptococcus salivarius",NA,"Plasmid","Plasmid"
"478","k141_1892856.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"477","k141_1892801.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"476","k141_1892768.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"475","k141_1891509.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"474","k141_1888780.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Campylobacter","Campylobacter concisus",NA,"Chromosome","Chromosome"
"473","k141_1888618.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"472","k141_1887485.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"471","k141_1887383.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Haemophilus","Haemophilus parahaemolyticus",NA,"Chromosome","Chromosome"
"470","k141_1885727.concoct_part_0","AAG07763","mexW","Multidrug","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"469","k141_1884752.concoct_part_0","CAJ77856","adeF","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"468","k141_1882679.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"467","k141_1881803.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"466","k141_1881357.concoct_part_0","AYV52072","lmrD","MLS","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"465","k141_1879997.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Fusobacterium","Fusobacterium nucleatum",NA,"Chromosome","Chromosome"
"464","k141_1879171.concoct_part_0","AAL20862","sdiA","Multidrug","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"463","k141_1874216.concoct_part_0","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Veillonella","Veillonella dispar",NA,"Chromosome","Chromosome"
"462","k141_1873036.concoct_part_0","AAF40764","farB","Antibacterial free fatty acids","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"461","k141_1872770.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"460","k141_1868759.concoct_part_0","AYV52072","lmrD","MLS","antibiotic efflux","Rothia","Rothia mucilaginosa",NA,"Chromosome","Chromosome"
"459","k141_1867083.concoct_part_0","AAV85981","macA","MLS","antibiotic efflux","Neisseria","Neisseria mucosa",NA,"Chromosome","Chromosome"
"458","k141_1863612.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"457","k141_1862205.concoct_part_7","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Cloacibacterium","Cloacibacterium normanense",NA,"Chromosome","Chromosome"
"456","k141_1862205.concoct_part_15","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Cloacibacterium","Cloacibacterium normanense",NA,"Chromosome","Chromosome"
"455","k141_1859114.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"454","k141_185854.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Neisseria","Neisseria mucosa",NA,"Chromosome","Chromosome"
"453","k141_1858373.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Rothia","Rothia dentocariosa",NA,"Chromosome","Chromosome"
"452","k141_1858045.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Actinomyces","Actinomyces naeslundii",NA,"Chromosome","Chromosome"
"451","k141_1857237.concoct_part_0","AAC75271","yojI","Peptide antibiotic","antibiotic efflux","Enterobacter","Enterobacter hormaechei",NA,"Chromosome","Chromosome"
"450","k141_1855654.concoct_part_0","AAG07763","mexW","Multidrug","antibiotic efflux","Haemophilus","Haemophilus parahaemolyticus",NA,"Chromosome","Chromosome"
"449","k141_1854909.concoct_part_0","AAB58161","ceoB","Multidrug","antibiotic efflux","Veillonella","Veillonella atypica",NA,"Chromosome","Chromosome"
"448","k141_1854560.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"447","k141_1853433.concoct_part_0","ABD30512","arlS","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"446","k141_1853148.concoct_part_0","AAG05915","MuxB","Multidrug","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"445","k141_1852623.concoct_part_0","AAG07064","mexK","Multidrug","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"444","k141_1846713.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"443","k141_1841576.concoct_part_0","AAG04750","PmpM","Multidrug","antibiotic efflux","Enterobacter","Enterobacter hormaechei",NA,"Chromosome","Chromosome"
"442","k141_1837817.concoct_part_3","AAX14802","adeJ","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"441","k141_1837073.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"440","k141_1835063.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Fusobacterium","Fusobacterium pseudoperiodonticum",NA,"Chromosome","Chromosome"
"439","k141_1834161.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"438","k141_1830941.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Leptotrichia","Leptotrichia wadei",NA,"Chromosome","Chromosome"
"437","k141_1822419.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"436","k141_1821425.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"435","k141_1819918.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"434","k141_1817296.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Streptococcus","Streptococcus oralis",NA,"Chromosome","Chromosome"
"433","k141_1814627.concoct_part_1","AJE60855","FosA5","Fosfomycin","antibiotic inactivation","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"432","k141_1814627.concoct_part_0","AAC77293","mdtM","Multidrug","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"431","k141_1811093.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"430","k141_1800613.concoct_part_6","BAE78082","mdtP","Nucleoside antibiotic","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"429","k141_1797406.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Bifidobacterium","Bifidobacterium longum",NA,"Chromosome","Chromosome"
"428","k141_1796825.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"427","k141_1795357.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"426","k141_1793096.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"425","k141_1790336.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Escherichia","Escherichia coli",NA,"Chromosome","Chromosome"
"424","k141_1787765.concoct_part_0","AAB58161","ceoB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"423","k141_178616.concoct_part_0","CAA62365","APH(3')-IIb","Aminoglycoside","antibiotic inactivation","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"422","k141_1785994.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Actinomyces","Actinomyces naeslundii",NA,"Chromosome","Chromosome"
"421","k141_178481.concoct_part_5","AAB58161","ceoB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"420","k141_1784026.concoct_part_0","AAG07763","mexW","Multidrug","antibiotic efflux","Tannerella","Tannerella forsythia",NA,"Chromosome","Chromosome"
"419","k141_1779921.concoct_part_0","BAB38260","cpxA","Aminoglycoside","antibiotic efflux","Escherichia","Escherichia coli",NA,"Chromosome","Chromosome"
"418","k141_1779504.concoct_part_4","AAC75271","yojI","Peptide antibiotic","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"417","k141_1778222.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"416","k141_1776961.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"415","k141_177536.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus anginosus",NA,"Chromosome","Chromosome"
"414","k141_177504.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Neisseria","Neisseria bacilliformis",NA,"Chromosome","Chromosome"
"413","k141_1774080.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"412","k141_1770758.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Capnocytophaga","Capnocytophaga sputigena",NA,"Chromosome","Chromosome"
"411","k141_1769218.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"410","k141_176678.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"409","k141_1759833.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"408","k141_1752889.concoct_part_0","AAP43110","oqxB","Multidrug","antibiotic efflux","Prevotella","Prevotella sp.",NA,"Chromosome","Chromosome"
"407","k141_175286.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"406","k141_1747076.concoct_part_0","ADO96486","hmrM","Multidrug","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"405","k141_1745081.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Mycoplasma","Mycoplasma salivarium",NA,"Plasmid","Plasmid"
